"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.991093208E0,-5.072915661E-1,5.037440604E-1,2.132554831E0,2.249198284E0
2.001063208E0,4.490190920E-1,4.235050589E-1,2.036227801E0,2.127721395E0
2.011033208E0,2.241340671E0,-1.542363927E0,2.472981627E0,3.676701322E0
2.021003208E0,3.704273096E0,-3.034437121E0,2.268923156E0,5.298816859E0
2.030974208E0,3.144550132E0,-3.234613625E0,1.629869263E0,4.796602407E0
2.040944208E0,9.071013683E-1,-8.023274499E-1,8.138120393E-1,1.459058691E0
2.050914208E0,1.661651219E0,3.748507283E0,1.423075319E0,4.340222919E0
2.060885208E0,3.126189875E0,9.396376736E0,5.370388080E0,1.126525752E1
2.070855208E0,1.458738803E0,1.292470536E1,8.969635828E0,1.579969286E1
2.080825208E0,-1.082951701E0,1.028169372E1,7.814438853E0,1.295960897E1
2.090796208E0,-1.886490694E0,8.714165128E0,3.520603867E0,9.585936189E0
2.100766208E0,-2.721033379E0,8.358796504E0,4.771234417E-1,8.803473657E0
2.110736208E0,-4.090312121E0,5.499183530E0,-1.461399286E0,7.007664419E0
2.120706208E0,-5.631041166E0,3.358777496E0,-1.506303563E0,6.727478079E0
2.130677208E0,-5.031353652E0,2.528011528E0,-1.187888465E0,5.754688598E0
2.140647208E0,-4.994633138E0,-1.809310956E0,-1.516511340E0,5.524470379E0
2.150617208E0,-6.320990394E0,-5.214028856E0,-3.097150556E0,8.759757875E0
2.160588208E0,-4.059037119E0,-5.984995934E0,-3.910782427E0,8.221324580E0
2.170558208E0,1.169361269E-1,-5.206190078E0,-2.765411114E0,5.896235055E0
2.180528208E0,1.842696218E0,-4.537217152E0,5.094567901E-1,4.923557155E0
2.190499208E0,3.367717304E0,-3.442802277E0,2.203556255E0,5.296231446E0
2.200469208E0,4.980034980E0,-2.339561614E0,2.900976178E0,6.220125379E0
2.210439208E0,6.962588410E0,-7.974304068E-1,3.206040621E0,7.706635394E0
2.220410208E0,9.396123551E0,-2.799179077E-1,4.011917624E0,1.022061519E1
2.230380208E0,1.057806803E1,-3.071372813E-1,5.662511466E0,1.200224532E1
2.240350208E0,1.010195382E1,-8.532420802E-1,6.099479738E0,1.183136281E1
2.250321208E0,1.067445236E1,-1.047423434E-1,5.025639753E0,1.179881177E1
2.260291208E0,9.931306336E0,5.638633776E-1,4.492750247E0,1.091483359E1
2.270261208E0,7.664079457E0,2.131486691E0,5.181227145E0,9.493495888E0
2.280231208E0,5.089871417E0,3.196692678E0,4.620884961E0,7.581438712E0
2.290202208E0,2.010970314E0,3.023968266E0,2.855301238E0,4.619646181E0
2.300172208E0,-1.575164468E0,2.886576825E0,4.153230500E-1,3.314507822E0
2.310142208E0,-5.278928272E0,2.043673207E0,-2.805188261E0,6.317655028E0
2.320113208E0,-7.466415501E0,1.273769152E0,-5.017938386E0,9.085678507E0
2.330083208E0,-6.532202933E0,1.633774619E0,-6.731148598E0,9.520885259E0
2.340053208E0,-5.951007239E0,1.793967277E0,-8.215138017E0,1.030151923E1
2.350024208E0,-7.002920750E0,-2.679697073E-1,-1.012223664E1,1.231147357E1
2.359994208E0,-6.102123265E0,-1.494803259E0,-1.056320558E1,1.229030745E1
2.369964208E0,-4.639521207E0,-9.938149917E-1,-8.636001889E0,9.853595987E0
2.379935208E0,-3.688652260E0,-8.026379371E-1,-6.586415393E0,7.591524938E0
